Directorate,Sub Directorate,Accounting Date,COST CENTRE,Supplier Name,Net Amount,Type,Minority Group
DIRECT LEARNING AND SKILLS,GF CATERING,05-Jun-18,154401,ABM Catering for Leisure Limited,1248,Revenue,Companies
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,05-Jun-18,201721,EDF Energy Plc,518.11,Revenue,Companies
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,05-Jun-18,209151,Little Inspirations Limited,2992,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,212731,Castell Howell Foods Limited,537.1,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Cardiff Homecare Limited,708.18,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Cardiff Homecare Limited,708.18,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Cardiff Homecare Limited,708.18,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Grangelodge Residential Home Limited t/a Grangelodge,513.66,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,216731,CJ Contract Travel Services Limited,570,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,217909,Consensus Support Services Limited t/a Ty Machen,2163.85,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,218419,Cardiff Homecare Limited,590.24,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,218419,Cardiff Homecare Limited,589.4,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,218419,Cardiff Homecare Limited,589.4,Revenue,Companies
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,05-Jun-18,260130,Llamau Limited,560,Revenue,Companies
DIRECT SOCIAL SERVICES,REGIONAL ADOPTION SERVICE,05-Jun-18,260500,Pervasive Networks Limited,1671.74,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,05-Jun-18,325852,Glamorgan White Lining Limited,2745.6,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,05-Jun-18,325852,Glamorgan White Lining Limited,533.64,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,05-Jun-18,325852,Glamorgan White Lining Limited,1066.43,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,05-Jun-18,325852,Glamorgan White Lining Limited,516.18,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,05-Jun-18,333154,The Firewood Company (UK) Limited T/A Esa Tree Care,1680,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,05-Jun-18,341182,Bruton Knowles LLP - client account R Thomas Investments RENT,900,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,05-Jun-18,350736,Business Gas Limited / Electricity,2715.99,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,05-Jun-18,365789,Travellink Solutions Limited,1332,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,05-Jun-18,365790,Travellink Solutions Limited,2862,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,05-Jun-18,365793,Creigiau Travel Limited,9594,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF LEGAL AND DEMOCRATIC,05-Jun-18,400050,Glamorgan Gem Limited,507,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF LEGAL AND DEMOCRATIC,05-Jun-18,400050,Glamorgan Gem Limited,507,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF LEGAL AND DEMOCRATIC,05-Jun-18,400050,Glamorgan Gem Limited,819,Revenue,Companies
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,05-Jun-18,422100,PTSG Electrical Services Limited,522,Revenue,Companies
DIRECT MANAGING DIRECTOR AND RESOURCES,GF CORPORATE AND CUSTOMER SERVICES,05-Jun-18,440011,Office Depot International (UK) Limited t/a Viking Direct,767,Revenue,Companies
DIRECT MANAGING DIRECTOR AND RESOURCES,GF CORPORATE AND CUSTOMER SERVICES,05-Jun-18,440530,Northgate Public Services (UK) Limited,1266.6,Revenue,Companies
DIRECT MANAGING DIRECTOR AND RESOURCES,GF PROPERTY,05-Jun-18,467402,Cooke and Arkwright Limited,2750,Revenue,Companies
DIRECT CAPITAL POLICY,CAPITAL POLICY,05-Jun-18,852513,Tugbury Electrical Services Limited,1455,Capital,Companies
DIRECT LEARNING AND SKILLS,SCHOOL IMPROVEMENT,05-Jun-18,100111,Rhondda Cynon Taff County Borough Council,287026.5,Revenue,Other Local Authorites
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,05-Jun-18,100401,Cardiff County Council,3568.67,Revenue,Other Local Authorites
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,05-Jun-18,100401,Cardiff County Council,3647.17,Revenue,Other Local Authorites
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,05-Jun-18,100402,Cardiff County Council,6873,Revenue,Other Local Authorites
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,05-Jun-18,100402,Cardiff County Council,7024.19,Revenue,Other Local Authorites
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,05-Jun-18,100403,Cardiff County Council,660.87,Revenue,Other Local Authorites
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,05-Jun-18,100403,Cardiff County Council,675.4,Revenue,Other Local Authorites
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,05-Jun-18,100405,Cardiff County Council,1321.73,Revenue,Other Local Authorites
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,05-Jun-18,100405,Cardiff County Council,1350.81,Revenue,Other Local Authorites
DIRECT CAPITAL LEARN AND SKILLS,CAPITAL SCHOOLS,05-Jun-18,810114,Llantwit Major Comprehensive School,9475.51,Capital,Other Local Authorites
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,05-Jun-18,102652,Mark Harries & Ptn T/A Seirrah Occupational Therapy,549.36,Revenue,Partnerships
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,05-Jun-18,209151,Nicola Varney & Ptn t/a Nifty Kids After School Club,1920,Revenue,Partnerships
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,05-Jun-18,260190,Sally-Anne Hemmingway,1600,Revenue,Professional Services
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,05-Jun-18,100401,Teachers Pensions,3311.98,Revenue,Public Bodies
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,05-Jun-18,100402,Teachers Pensions,2382.28,Revenue,Public Bodies
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,05-Jun-18,100403,Teachers Pensions,1059.74,Revenue,Public Bodies
DIRECT SOCIAL SERVICES,REGIONAL ADOPTION SERVICE,05-Jun-18,260500,Cardiff Met Company Limited,1107,Revenue,Public Bodies
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,05-Jun-18,103065,New Directions (Education) Limited,657.5,Revenue,recy
DIRECT MANAGING DIRECTOR AND RESOURCES,GF HUMAN RESOURCES,05-Jun-18,140119,Acorn Recruitment Limited,1432.6,Revenue,recy
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,05-Jun-18,323686,Hays Specialist Recruitment Limited,640.64,Revenue,recy
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,05-Jun-18,325681,Hays Specialist Recruitment Limited,1505.26,Revenue,recy
DIRECT ENVIRONMENT AND HOUSING,HOUSING,05-Jun-18,407106,Building Recruitment Company Limited,750.08,Revenue,recy
DIRECT ENVIRONMENT AND HOUSING,HOUSING,05-Jun-18,407106,James Andrews Recruitment Solutions Limited,787.5,Revenue,recy
DIRECT ENVIRONMENT AND HOUSING,HOUSING,05-Jun-18,407106,James Andrews Recruitment Solutions Limited,825.5,Revenue,recy
DIRECT ENVIRONMENT AND HOUSING,HOUSING,05-Jun-18,407119,Hays Specialist Recruitment Limited,1172.87,Revenue,recy
DIRECT ENVIRONMENT AND HOUSING,HOUSING,05-Jun-18,407119,Hays Specialist Recruitment Limited,1518.81,Revenue,recy
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,05-Jun-18,422160,Anderselite Limited,825,Revenue,recy
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,05-Jun-18,422160,Hays Specialist Recruitment Limited,930.75,Revenue,recy
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,05-Jun-18,422160,Hays Specialist Recruitment Limited,932.03,Revenue,recy
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215486,Bellavista Care (Cardiff) Limited T/A Bellavista Nursing Home Cardiff,684.2,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215486,Bellavista Nursing Homes (Wales) Limited t/a Bellavista Care Home,662.82,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215486,Bellavista Nursing Homes (Wales) Limited t/a Bellavista Care Home,1539.47,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215486,Waverley Care Centre Limited,1945.71,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215486,Waverley Care Centre Limited,1304.27,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215486,Waverley Care Centre Limited,2501.63,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Baltimore Care Limited,516.38,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Baltimore Care Limited,516.38,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Baltimore Care Limited,5613.66,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Baltimore Care Limited,526.38,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Bellavista Care (Cardiff) Limited T/A Bellavista Nursing Home Cardiff,506.04,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Bellavista Care (Cardiff) Limited T/A Bellavista Nursing Home Cardiff,2061.4,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Bellavista Nursing Homes (Wales) Limited t/a Bellavista Care Home,1232.33,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Bellavista Nursing Homes (Wales) Limited t/a Bellavista Care Home,4439.91,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Bellavista Nursing Homes (Wales) Limited t/a Bellavista Care Home,645.84,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Broadway Care Centre Limited T/A Hazelhurst Nursing Home,516.38,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Broadway Care Centre Limited T/A Hazelhurst Nursing Home,538.41,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Duffryn Ffrwd Manor Limited,549.49,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Forge Care Homes Limited t/a The Forge Care Centre,925,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Forge Care Homes Limited t/a The Forge Care Centre,671.32,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Harrison Care Enterprises Barry Limited t/a Island View,516.38,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Hebron Hall Limited,588.35,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Hebron Hall Limited,756.47,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,June Zehetmayr t/a Tower Hill Residential Home,538.12,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Lakeside Homes Limited T/A Lakeside House,518.82,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Llangoedmor Properties Limited T/A Parkside Residential Home,516.38,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Llangoedmor Properties Limited T/A Parkside Residential Home,517.8,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Llangoedmor Properties Limited T/A Parkside Residential Home,502.23,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Llangoedmor Properties Limited T/A Parkside Residential Home,3409.04,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Llangoedmor Properties Limited T/A Parkside Residential Home,533.5,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,MHA Care Group t/a Morel Court,531.09,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,MHA Care Group t/a Ty Gwyn Private Nursing Home,599.54,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,MHA Care Group t/a Ty Gwyn Private Nursing Home,552.58,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Middlepatch Limited T/A College Fields Nursing Home,574.12,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Middlepatch Limited T/A College Fields Nursing Home,590.99,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Middlepatch Limited T/A College Fields Nursing Home,572.59,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Middlepatch Limited T/A College Fields Nursing Home,576.54,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Middlepatch Limited T/A College Fields Nursing Home,514.35,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Middlepatch Limited T/A College Fields Nursing Home,567.84,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Middlepatch Limited T/A College Fields Nursing Home,612.02,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Middlepatch Limited T/A College Fields Nursing Home,512.87,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Middlepatch Limited T/A College Fields Nursing Home,614.52,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Middlepatch Limited T/A College Fields Nursing Home,559.95,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Middlepatch Limited T/A College Fields Nursing Home,567.84,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Middlepatch Limited T/A College Fields Nursing Home,589.85,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Northcote Developments Limited,4263.55,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Northcote Developments Limited,513.38,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Northcote Developments Limited,508.15,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Northcote Developments Limited,515.73,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Oakville Care Limited t/a Romilly Nursing Home,900,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Springbank Care Home Limited T/A Springbank Nursing Home,1864.45,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Springbank Care Home Limited T/A Springbank Nursing Home,567.44,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Springbank Care Home Limited T/A Springbank Nursing Home,563.34,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Springbank Care Home Limited T/A Springbank Nursing Home,612.02,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Springbank Care Home Limited T/A Springbank Nursing Home,575.79,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Springbank Care Home Limited T/A Springbank Nursing Home,626.5,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,The Manor House St Hilary Limited T/A Milsom House,642.99,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,The Manor House St Hilary Limited T/A Milsom House,1176.71,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,The Manor House St Hilary Limited T/A Milsom House,504.17,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,The Manor House St Hilary Limited T/A Milsom House,1559.94,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Waverley Care Centre Limited,500.74,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Waverley Care Centre Limited,4337.59,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Waverley Care Centre Limited,4109.05,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Waverley Care Centre Limited,585.1,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Waverley Care Centre Limited,11287.66,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Waverley Care Centre Limited,675.33,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,215489,Waverley Care Centre Limited,596.49,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,216176,Forge Care Homes Limited t/a The Forge Care Centre,534.54,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,216179,Accomplish Group Limited t/a Cedar House,1380.73,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,216179,Amethyst Healthcare Limited t/a Hillstone House,1770.23,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,216179,Bellavista Nursing Homes (Wales) Limited t/a Bellavista Care Home,552.23,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,216179,Care 4 U (Neath) Limited,1754.28,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,216179,Crusader Medical Care Limited T/A St Saviours Nursing Home,551.35,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,216179,Forge Care Homes Limited t/a The Forge Care Centre,3303.57,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,216179,Leonard Cheshire Disability,970.38,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,216179,Middlepatch Limited T/A College Fields Nursing Home,621.55,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,216179,Middlepatch Limited T/A College Fields Nursing Home,618.34,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,216179,Springbank Care Home Limited T/A Springbank Nursing Home,572.38,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,216179,Springbank Care Home Limited T/A Springbank Nursing Home,740,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,216179,Valebrook Care Homes Limited,1851.35,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,216179,Voyage 1 Limited t/a Brook Lodge,2528.8,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,216179,Voyage 1 Limited t/a Falcons Rest & Poachers Cottage,1729.64,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,217909,Accomplish Group Limited,1821.48,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,217909,Accomplish Group Limited,2146.47,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,217909,Accomplish Group Limited t/a Cedar House,1582.7,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,217909,Amethyst Healthcare Limited t/a Hillstone House,1680.86,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,217909,Amethyst Healthcare Limited t/a Hillstone House,1462.13,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,217909,Glasallt Fawr Camphill Centre,995.72,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,217909,Glasallt Fawr Camphill Centre,1544.9,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,217909,Heatherleigh Care Limited t/a 106 Splott Road,1563.71,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,217909,Heatherleigh Care Limited t/a 106 Splott Road,1223.14,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,217909,Llysywaun Limited t/a Bayview Lodge Nursing Home,1724.9,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,217909,Ocean Community Services Limited t/a Westminster Court Care Home,1116.27,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,217909,The Cedars Care Services Limited T/A Ashgrove Care Home,2112.35,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,217909,The Cedars Care Services Limited T/A Ashgrove Care Home,995.35,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,217909,The Cedars Care Services Limited T/A Oaklands,1030.35,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,217909,The Cedars Care Services Limited t/a Sycamore House,2026.35,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,217909,The Cedars Care Services Limited t/a Sycamore House,1809.35,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,217909,The Cedars Care Services Limited t/a The Cedars,1576.06,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,217909,The Cedars Care Services Limited t/a The Cedars,1365.05,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,217909,The Cedars Care Services Limited t/a The Hollies,1864.35,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Jun-18,217909,Vale Phoenix Limited,1079.73,Revenue,Residential Homes
